tree,s,reads_avg,reads_std,points_avg,points_std
random_nearest-x,0.0025,207.31,17.1981,105.93,9.67291
random_nearest-x,0.005,416.6,5.15752,420.93,20.5544
random_nearest-x,0.01,830.38,1.88032,1684.43,35.3325
random_nearest-x,0.025,2069.54,3.13822,10488.5,102.124
random_nearest-x,0.05,4136.09,4.0177,41940,219.349
random_str,0.0025,6.3,1.253,106.06,9.39023
random_str,0.005,9.21,1.47848,419.37,20.9302
random_str,0.01,18.18,2.08509,1680.28,42.9542
random_str,0.025,71.17,3.53852,10489.6,104.873
random_str,0.05,241.36,7.62433,41940.4,186.128
europa_nearest-x,0.0025,116.69,298.62,225.94,1604.71
europa_nearest-x,0.005,214.29,346.703,175.98,654.27
europa_nearest-x,0.01,425.15,746.891,868.55,4617
europa_nearest-x,0.025,1026.59,1746.33,5953.67,18042.1
europa_nearest-x,0.05,2483.47,3412.75,43189.6,83882.5
europa_str,0.0025,6.16,11.713,181.61,1119.31
europa_str,0.005,8.65,14.7664,545.62,2646.14
europa_str,0.01,11.02,21.6638,738.41,3055.02
europa_str,0.025,304.91,1385.66,57862.7,273978
europa_str,0.05,260.66,854.837,48191.3,170878
